REFCODE,M_1,M_2,K_0_1,K_0_2,DeltaH,r2,iso_enth,p_thres
UKIQIP_clean,6.387209782775342,11.923701001708723,7.898375527717117e-06,7.8984339076329e-06,-26730.21397399655,0.9949991563402144,-25963.71134933374,20
UNACIW_clean,-0.1763106215387792,3.0560369390773516,2.6555010001451455e-05,1.632121917706253e-05,-31816.83982219821,0.9932303580528472,-38892.964072991104,20
UPOVOL_clean,2.561194143361581,4.030585905014726,2.676933576388619e-07,9.570100360580132e-05,-29730.003388413992,0.9863560714010694,-34267.25851972142,20
UQUHAQ_clean,0.23762613427641,5.218076480830457,1737.801822313883,1.9021035602583944e-06,-41050.282229266755,0.9463535814481792,-50136.483642542786,2
UNACES_clean,-0.0909903240761633,2.9712558588337834,-330953.62784573226,3.911308716470491e-06,-34785.19156507356,0.974362033675086,-32005.06915569493,20
UQULAU_clean,4.121166807352352,7.757887461882177,5.776403471329809e-07,4.922951640932749e-06,-32039.18170034571,0.9971911582049748,-32818.18982803329,8
UTEXIB_clean,3.3682660602558787,6.39082874075003,4.8558263806170946e-06,2.1519768930138473e-05,-28781.60427498561,0.9989172731420024,-29193.430693925853,4
UNIPAJ_clean,1.3903273889172365,2.6348722291015063,2.1527163751573613e-07,7.632525429934185e-06,-33900.34761072525,0.994512195337388,-34060.47519244333,4
UVAROZ_clean,1.6751298105563222,2.1401441891119615,1.3860486267429497e-06,0.0002923695258094,-29795.2301791714,0.9811417711018958,1.0,12
UTEWOG_clean,11.305760069976875,11.25524550906499,2.261176351266219e-06,6.158919316735361e-06,-28315.858502300467,0.995620789119602,-26459.295268994734,20
UTEXAT_clean,3.522029004352943,6.671883407340697,8.497810871757679e-07,8.305420832335706e-06,-31440.66345973676,0.9982575930343316,-31637.45799643472,12
UNIGEE_clean,0.4008228683258857,21.69568736602108,755835115803.084,0.0001973164308218,-16882.899329538348,0.7917368130232649,-16882.899329538348,20
UVARIT_clean,1.5985251863274683,2.1529091822930684,1.5585954981988764e-08,4.398233087600281e-06,-39692.80879346663,0.99000803538434,-37971.348653820416,8
UVARUF_clean,1.988309686344744,2.174709391928139,3.628966419974611e-07,0.0001582912987579,-31405.657952760095,0.9731796125077936,-26185.198950340808,20
UVINAP_clean,0.089158259662157,2.3987901880556444,-114008.19836068492,2.1109750482044457e-05,-28194.236516084096,0.9655013154341828,-28717.68827705768,2
UVASAM_clean,2.598176392612049,2.151292680661932,1.4202402059094468e-07,5.311327782310053e-05,-32913.42846184608,0.9902708136096638,-37156.67247649738,8
UVEVAT_clean,2.5874109206223617,9.232612388080057,5.003409423450598e-06,1.1028968913602676e-05,-30177.904933009468,0.995976000231601,-31978.33153018245,12
UVUPOR_clean,2.453106757251212,6.323565574450142,3.7966595261707783e-06,7.25767252548221e-06,-31824.752432103774,0.998283163081605,-31530.790566413067,4
UVEVEX_clean,3.2519229894567387,9.15459427987216,2.3281597719185278e-07,1.0741737847088336e-06,-36015.249031789535,0.9963825631705334,-36503.90683399662,20
UWOWAF_clean,2.2023451502542737,5.131250945918243,7.045898598951949e-07,1.8863875160163775e-05,-32662.721304419945,0.9920695986062464,-32823.52659155236,8
UWUTIQ_clean,3.2750472004797757,7.251400183622339,1.127569066513761e-06,1.697903225320776e-05,-30436.74439098376,0.9996166192512316,-30818.967985451072,8
UXEHIP,2.6908995890023673,6.773797706848887,7.860267265811156e-06,3.221848299941731e-06,-33622.93378322377,0.9985856294418246,-33330.97242351358,4
UVUQAE_clean,2.107668599755714,5.249675271877875,5.520201014635277e-07,1.0427517316484646e-05,-33237.76397856155,0.9981580892056292,-34209.80500036388,8
UWELIS_clean,3.137155020895187,9.140751489306224,2.9545711199978144e-07,1.8151183515368757e-06,-35551.16400789799,0.9967686746883804,-33826.27605330717,12
UXEQOE_clean,0.7430367942687122,2.2443064373602577,2.18670064497904e-08,3.633922959615444e-06,-44214.15561468737,0.9931395907716186,-47580.40795190291,20
UXUZAP_clean,3.2125722643832644,3.544960000799795,4.780000198506824e-07,2.0663304705803932e-05,-34116.138667128405,0.9988497952846536,-36048.55586710383,2
UZANAL_clean,4.0158312034937875,2.2168370056974234,6.124369761159388e-05,1.7847010852100192e-07,-33578.274743406175,0.9814582173149616,-39044.99615606068,4
UZATAR_clean,1.412954116717309,2.344959859233418,5.163085804020262e-09,1.8186825166409737e-06,-44347.84189682556,0.9820010827741882,-49936.01569461585,20
UVEWIC_clean,-4.509103250567825,12.849479053290624,-263757.98479574197,4.302474920541061e-07,-44697.750502303046,0.8406116177926866,-39913.19136203779,2
UXABOL_clean,-8.422087349550608,11.737127065653729,0.0061761121038553,0.0061345017905082,-24231.86795259757,0.7050742556728692,-34676.55749484571,4
UXUYUI_clean,3494.264214914894,3.0709895115529884,5.5055302442925766e-11,2.01055562279294e-06,-31155.338771118633,0.9998614996191948,-41931.21659456812,8
UZUNAF_clean,1.4856232905354714,3.490385760401076,3.551986150498222e-06,7.231529010556295e-06,-27766.32438908829,0.9532192991963834,-26916.72888353558,20
UZIJUJ_clean,4.172977437923654,7.660302212751454,1.4392560749964894e-06,3.6615393145514374e-05,-29577.774363376895,0.9947595123687196,-30686.91407064183,8
UZUNEJ_clean,0.5930561072606572,3.516693279162584,-5.318243483382298e-06,3.741047145480792e-06,-31260.689300456335,0.9408121340360432,-23862.840258030963,8
UZUNAF01_clean,1.54309575450721,3.5919128452233253,2.381503996381067e-05,2.38173310118965e-05,-25128.99277027115,0.9973788139756622,-25091.39883367453,20
VACFOV01_clean,5.118617025721009,8.848851854159987,7.010591966932863e-07,8.604571227531206e-06,-31376.16695251509,0.9995512579888876,-29139.116932223387,8
VAHPUR_clean,1.5566701958066904,2.6394469914551766,3.3005279480693265e-07,1.3789918887847024e-06,-37861.97000426632,0.998287981496079,-37646.19490473044,2
VAHSIH_clean,1.5791389136123997,3.715542578434891,1.0294033860901511e-09,2.053971467491197e-07,-51349.44394016329,0.9833664388726052,-49996.98752802233,12
VACFUB_clean,-0.0763924740448812,5.38713740021161,-307644655.07264364,4.072049050641594e-07,-35102.45063924875,0.9635681808447206,-27578.529626102187,4
VAGTAA_clean,6.7956950208766065,8.596635564109436,2.517294225604755e-07,6.092800477434385e-06,-36752.897627998165,0.9880554126004104,-34355.561049116826,20
VAHVOR_clean,2.619842489621181,7.249464660287338,317433518043.8735,4.816290592167049e-06,-33048.04303923289,0.9765665901634424,-33048.04303923289,2
VACFUB01_clean,-0.1810003842454946,5.729321883961204,0.0023606116561917,0.0001134180103736,-21834.78812757038,0.9380339129064708,-22159.319094243092,8
VAQLEG_clean,1.2550972738236963,3.6957543763131384,3.780365097444243e-08,1.4693885518391805e-06,-42235.76769564238,0.9983008892573834,-41478.6872242244,4
VAKBIU_clean,0.2110208483361721,7.720855386501122,-3131612.900495326,3.2436512414113226e-06,-33581.779139553626,0.9948417737596286,-33073.80791492384,4
VARREL_clean,2.3849256738595237,1.9217836040330745,2.83016440182853e-06,2.2486238714841626e-07,-42115.83174190678,0.9880396091747,-41277.98439154605,8
VAYDOQ_clean,16726.532578479422,3.448698366597419,1.4101981598094486e-11,4.5873248950793105e-05,-32752.48268778642,0.9829236303923592,-41197.7629188077,4
VECWUX_clean,4.113108973872636,2.7981844856470923,1.0325915311039097e-07,1.3996353368383228e-05,-33295.90543934338,0.9983208668332682,-32944.89236546908,2
VATXEU_clean,2.387433774905657,2.302699748144995,5.49613294356237e-06,5.496156848250907e-06,-27653.261098244187,0.9983654098353348,-24693.19570337181,4
VATYAR_clean,3.515748112899756,5.6746665884292025,7.003763722976107e-09,2.471371815575836e-07,-42502.664126494,0.9850325628552884,1.0,20
VEDFER_clean,2.5616165410458027,5.9012603831819535,3.617940000030209e-06,9.581120038798256e-06,-30817.0022949117,0.9987834672835044,-30902.255111122267,4
VATYEV_clean,3.7945110709236425,4.43711475964173,8.641087508879097e-08,3.5748397329190195e-06,-37549.80527022928,0.9700735045888392,1.0,20
VEDFIV_clean,2.450808879695307,5.980448397569223,4.465348608509019e-07,2.9876518026771136e-06,-34054.47954771246,0.9978450373277048,-33268.42888737408,12
VEDFAN_clean,2.634880716096053,6.3838154699025615,5.47202615870958e-06,1.0335798419727065e-05,-30044.583526001938,0.9958633261717336,-33218.863370655046,8
VEDFOB_clean,3.018375714836467,5.875087360921416,1.8284463934095273e-06,8.235312233212158e-06,-30915.363865063937,0.9972904685174888,-31896.595974638785,8
VAZTOG_clean,-5.0477313637938535,29.301598315981902,0.0003178491119074,9.59253714286441e-05,-16086.992734838894,0.9999713519205966,-17000.45090574823,2
VEDGAO_clean,2.3041013461967355,5.647741079482994,1.578332768827898e-06,5.729232371731522e-06,-32453.8438035108,0.9992476854910092,-31521.775467149106,4
VEFLUP_clean,2.7972234594721717,4.200526612020506,5.1087315523305416e-08,1.4057751980461152e-05,-44770.85786428095,0.967641790852334,-44710.41254612713,2
VEHKAW_clean,2.295460683183084,3.9898888382293807,1.1537055557261828e-07,1.196173750718196e-06,-40409.076427382024,0.9973735623277112,-42690.95249131758,4
VEJYUF01_clean,5.393335139235483,2.579078922629821,5.4750129684024536e-08,2.961729081014451e-05,-31085.708540421416,0.9997969644514144,-31351.32160525063,8
VEJYIT01_clean,3.6174876130823233,8.258016006413749,3.257551170136259e-06,6.531617817598899e-06,-28720.509950004307,0.9979191744950836,-27990.577829490405,12
VEJYIT_clean,3.2839916464339582,8.096993899272192,8.717969755439001e-06,8.718291712408557e-06,-27984.64029215663,0.9984689439585668,-27782.738878180106,8
VEJYUF02_clean,3.4686391883037566,2.55198857530086,1.0183841637805988e-07,4.477284590290259e-05,-30832.19056296791,0.9994831422992164,-30417.78477097542,8
VEMTAJ01_clean,-0.0439134236350306,5.453275831982845,-516164.5018977052,3.2742778048552687e-06,-34955.22273575933,0.9623980188858056,-30840.932441481633,2
